Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
20 Microns,Minerals & Mining,616.42,1.52,35.61,36.14,16.34,19.16,0.36,2.51,9.51
21st Cent. Mgmt.,Capital Markets,38.16,-49.11,28.82,24.91,23.67,37.5,0,-110.66,
360 ONE,Capital Markets,44754.51,10.55,35.53,30.52,20.57,14.91,1.47,22.1,38.02
3B Blackbio,Healthcare Services,1159.95,-20.28,50.18,36.39,19.4,25.75,0,33.01,20.2
3B Films,Industrial Products,49.79,,,,17.09,8.55,1.98,-29.13,45.68
3C IT Solutions,IT - Services,11.96,-18.71,,,-0.71,5.99,0.04,-4.87,47.84
3i Infotech,IT - Software,289.11,-38.02,-23.84,17.94,8.28,4.94,0.11,-4.24,4.94
3M India,Diversified,42268.14,42.62,18.3,9.2,23.85,38.17,0.06,14.22,129.01
3P Land Hold.,Finance,58.82,-21.14,14.27,27.9,1.74,2.31,0,2.7,27.62
52 Weeks Enter.,Food Products,4.88,-11.95,-7.17,8.06,-0.76,-0.61,0.24,,
5paisa Capital,Capital Markets,999.69,-8.44,4.87,3.92,11.89,13.55,0.46,-23.87,23.09
63 Moons Tech.,IT - Software,2776.69,-12.82,44.04,49.44,-1.47,-2.31,0,113.39,
7NR Retail Ltd,Retailing,10.25,-22.29,-21.62,-7.65,1.14,2.16,0.16,270.33,5.82
7Seas Enter.,Entertainment,173.71,2.64,67.03,,11.76,12.03,0.07,29.95,79.68
A B B,Electrical Equipment,128691.96,23.05,22.4,31.83,22.39,29.9,0.01,8.32,77.09
A B Infrabuild,Construction,1151.74,139.12,151.01,100.97,17.3,18.43,0.29,52.45,56.65
A B Lifestyle,Retailing,12458.96,,,,9.78,,2.67,,70.53
A B M Internatl.,Commercial Services & Supplies,38.57,-12.93,7.5,-10.84,-9.58,-6.25,1.09,-26.1,
A B Real Estate,"Paper, Forest & Jute Products",14410.98,-30.75,27.8,21.48,-2.45,-0.16,1.45,-56.09,
A F Enterprises,Commercial Services & Supplies,7.82,-71.36,-41.95,-29.11,-2.47,-2.24,0.17,-45.62,
A G Universal,Industrial Products,43.87,60.32,,,4.97,8.03,1.12,-7.18,43.87
A-1,Chemicals & Petrochemicals,1161.04,128.42,45.46,69.95,7.82,10.63,0.35,8.25,470.06
A.K.Capital Serv,Finance,1015.08,55.35,52.78,33.8,8.97,8.48,3.22,11.49,9.77
A2Z Infra Engg.,Construction,314.73,13.46,35.39,33.91,28.93,13.78,2.07,12.01,22.72
AA Plus Trade,Commercial Services & Supplies,31.87,-17.61,22.65,,3.34,4.46,0.02,9.7,30.64
AAA Technologies,Commercial Services & Supplies,131.06,29.59,21.91,29.52,11.94,16.02,0,13.55,38.43
Aadhar Hsg. Fin.,Finance,19945.63,20.55,,,16.86,11.42,2.55,18.67,19.14
Aadi Industries,Chemicals & Petrochemicals,9.42,72.84,34.4,,,-123.08,,,
Aakaar Medical,Personal Products,90,,,,33.8,26.66,0.36,33.55,14.9
Aakash Explor.,Oil,83.63,2.1,6.18,-8.37,2.29,4.6,0.43,2.22,44.02
Aananda Lakshmi,Textiles & Apparels,4.13,-26.78,9.24,33.45,,,,127.05,1.06
Aanchal Ispat,Industrial Products,5.43,333.48,17.3,22.31,-8.39,-10.21,0,-42.01,16.45
Aar Shyam (I),Finance,4.06,,37.93,,-0.55,-0.5,0.12,-50,
Aaradhya Dis.,"Paper, Forest & Jute Products",151.98,,,,44.46,27.19,0.51,53.78,11.88
Aarcon Facilitie,Finance,8.16,21.47,,,2.67,9.46,0,-46.36,
Aarey Drugs,Pharmaceuticals & Biotechnology,217.56,106.1,39.11,23.05,2.96,6.38,0.34,-32.16,63.43
Aarnav Fashions,Textiles & Apparels,115.27,-47.37,-8.51,-21.58,4.95,7.72,0.53,8.59,16.26
Aaron Industries,Industrial Manufacturing,338.39,-7.16,18.83,40.65,20.95,18.62,0.72,21.81,46.87
Aartech Solonics,Electrical Equipment,135.98,-27.32,27.29,39.06,8.23,5.64,0.16,-5.06,42.09
Aarti Drugs,Pharmaceuticals & Biotechnology,3349.61,4.45,0.06,-10.3,12.69,13.09,0.39,8.22,16.53
Aarti Industries,Chemicals & Petrochemicals,16213.41,18.92,-5.99,-4.94,6.03,6.32,0.7,13.35,43.7
Aarti Pharma,Pharmaceuticals & Biotechnology,6560.14,-1.3,34.13,,14.54,17.44,0.32,-12.47,30.39
Aarti Surfactant,Chemicals & Petrochemicals,342.79,-5.19,-7.99,-14.61,5.14,8.5,0.5,30.76,19.17
Aarvi Encon,Commercial Services & Supplies,192.58,25.39,4.99,19.77,8.26,10.82,0.24,32.62,11.59
Aashka Hospitals,Healthcare Services,180.18,-18.86,15.91,,2.39,4.07,0.13,-15.19,158.05
AastamangalamFin,Finance,48.88,-0.76,7.22,20.84,14.82,13.02,0.64,21.67,6.49
Aatmaj Health,Healthcare Services,47.46,24.63,,,1.29,3.39,0.22,39.29,56.5
AAVAS Financiers,Finance,10180.91,-23.73,-11.46,-10.71,14.11,10.09,3.08,15.05,16.24
Aayush Art,Textiles & Apparels,1703.33,44.84,163.94,130.09,4.66,6.21,0,254.8,882.55
Aayush Wellness,Food Products,152.1,-52.77,172.76,71.77,51.06,51.02,0.38,153.78,33.8
AB Cotspin,Textiles & Apparels,898.42,-13.91,104.4,,11.16,10.23,0.93,-3.43,68.11
Aban Offshore,Oil,113.99,-51.49,-21.68,-12.62,,,,-14.31,
ABans Enterprise,Metals & Minerals Trading,174.23,-16.57,-11.79,-1.62,9.63,12.43,0.93,282.95,10.76
Abans Financial,Finance,1018.24,5.62,-4.71,,10.17,9.71,0.62,559.29,7.92
Abate As Indust,Healthcare Services,190.55,31.84,14.76,51.4,0.67,,0.05,,18.03
Abbott India,Pharmaceuticals & Biotechnology,56376.25,-12.72,9.05,12.85,35.68,46.25,0.05,9.31,36.99
ABC India,Transport Services,34.39,-37.29,-5.99,-0.95,4.15,6.82,0.3,-4.86,
